,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,pickup_hour,pickup_day,pickup_month,pickup_weekday,is_weekend,trip_duration
passenger_count,1.0,0.0021686926915489204,-0.005125219938520911,-0.00034303296741830687,-0.002762281082404467,0.009101436776686303,0.0020141570362586974,-0.0021431908037561984,0.025190931402849573,0.028332506611088958,0.008470987890306895
pickup_longitude,0.0021686926915489204,1.0,0.022568312013321004,0.7835819889821063,0.10018964353403029,0.010150457481123334,-0.0008743797175744569,0.004474488407240115,-0.01635619304439534,-0.012778317566891276,0.02654225942462488
pickup_latitude,-0.005125219938520911,0.022568312013321004,1.0,0.11488411603801359,0.49403753620499635,0.01060309886958427,-0.006494687782719039,-0.0014391735650600807,-0.028975899643425403,-0.034352594328194125,-0.029204470868340857
dropoff_longitude,-0.00034303296741830687,0.7835819889821063,0.11488411603801359,1.0,0.12487305423439933,-0.022455332905277854,-0.0004557066231622559,0.004757601544122043,-0.001130435287415003,-0.0019907481609081528,0.014678207098634738
dropoff_latitude,-0.002762281082404467,0.10018964353403029,0.49403753620499635,0.12487305423439933,1.0,0.013611861267103198,-0.005561171587464604,-0.0006073241745247063,-0.0217624091591295,-0.023258048117943818,-0.020676530250911318
pickup_hour,0.009101436776686303,0.010150457481123334,0.01060309886958427,-0.022455332905277854,0.013611861267103198,1.0,0.00041422101242834453,-0.0034379143139917205,-0.0842549385288963,-0.09024741192474485,0.003690312355183973
pickup_day,0.0020141570362586974,-0.0008743797175744569,-0.006494687782719039,-0.0004557066231622559,-0.005561171587464604,0.00041422101242834453,1.0,-0.015135090058598769,0.004364586687977042,0.007841866122567686,0.0005655709128239292
pickup_month,-0.0021431908037561984,0.004474488407240115,-0.0014391735650600807,0.004757601544122043,-0.0006073241745247063,-0.0034379143139917205,-0.015135090058598769,1.0,-0.014543700474024115,-0.00832483300775833,0.006607118567269857
pickup_weekday,0.025190931402849573,-0.01635619304439534,-0.028975899643425403,-0.001130435287415003,-0.0217624091591295,-0.0842549385288963,0.004364586687977042,-0.014543700474024115,1.0,0.7822590786773457,-0.0007075126865027597
is_weekend,0.028332506611088958,-0.012778317566891276,-0.034352594328194125,-0.0019907481609081528,-0.023258048117943818,-0.09024741192474485,0.007841866122567686,-0.00832483300775833,0.7822590786773457,1.0,-0.00400865670182265
trip_duration,0.008470987890306895,0.02654225942462488,-0.029204470868340857,0.014678207098634738,-0.020676530250911318,0.003690312355183973,0.0005655709128239292,0.006607118567269857,-0.0007075126865027597,-0.00400865670182265,1.0
